Email,Nombre,Rol,Contraseña,Telefono,Empresa,Estado
admin@magicstars.com,Admin,admin,Admin1234,+506 8888-0000,Magic Stars,Activo
asesor@magicstars.com,María Fernández,asesor,Asesor1234,+506 8888-2222,Para Machos CR,Activo
asesor-allstars@magicstars.com,Pedro Asesor,asesor,AllStars1234,+506 8888-3333,All Stars,Activo
asesor-beautyfan@magicstars.com,Ana Asesor,asesor,BeautyFan1234,+506 8888-4444,Beauty Fan,Activo
alex@magicstars.com,Alex,mensajero,Alex1234,+506 8888-0001,Magic Stars,Activo
andrey@magicstars.com,Andrey,mensajero,Andrey5678,+506 8888-0002,Magic Stars,Activo
anibal@magicstars.com,Anibal,mensajero,Anibal9012,+506 8888-0003,Magic Stars,Activo
anthony@magicstars.com,Anthony,mensajero,Anthony3456,+506 8888-0004,Magic Stars,Activo
carlos@magicstars.com,Carlos,mensajero,Carlos7890,+506 8888-0005,Magic Stars,Activo
gabriel@magicstars.com,Gabriel,mensajero,Gabriel7890,+506 8888-0006,Magic Stars,Activo
gerson@magicstars.com,Gerson,mensajero,Gerson2468,+506 8888-0007,Magic Stars,Activo
johan@magicstars.com,Johan,mensajero,Johan2468,+506 8888-0032,Magic Stars,Activo
irving@magicstars.com,Irving,mensajero,Irving1357,+506 8888-0008,Magic Stars,Activo
javier@magicstars.com,Javier,mensajero,Javier4680,+506 8888-0009,Magic Stars,Activo
jose@magicstars.com,Jose,mensajero,Jose8024,+506 8888-0010,Magic Stars,Activo
josue@magicstars.com,Josue,mensajero,Josue1593,+506 8888-0011,Magic Stars,Activo
loria@magicstars.com,Loria,mensajero,Loria7531,+506 8888-0012,Magic Stars,Activo
luis@magicstars.com,Luis,mensajero,Luis1234,+506 8888-0013,Magic Stars,Activo
luisq@magicstars.com,LuisQ,mensajero,LuisQ9642,+506 8888-0014,Magic Stars,Activo
manuel@magicstars.com,Manuel,mensajero,Manuel8520,+506 8888-0015,Magic Stars,Activo
michael@magicstars.com,Michael,mensajero,Michael7410,+506 8888-0016,Magic Stars,Activo
pablo@magicstars.com,Pablo,mensajero,Pablo9630,+506 8888-0017,Magic Stars,Activo
pablonocturna@magicstars.com,PabloNocturna,mensajero,PabloNocturna2580,+506 8888-0018,Magic Stars,Activo
tomas@magicstars.com,Tomás,mensajero,Tomas3690,+506 8888-0019,Magic Stars,Activo
jeank@magicstars.com,JeanK,mensajero,JeanK1234,+506 8888-0020,Magic Stars,Activo
cristopher@magicstars.com,Cristopher,mensajero,Cristopher5678,+506 8888-0021,Magic Stars,Activo
prueba@magicstars.com,Prueba,mensajero,prueba,+506 8888-9999,Magic Stars,Activo
johan-demo@magicstars.com,Johan Demo,mensajero,demo,+506 8888-9998,Magic Stars,Activo

